country,keyword,search_volume,cpc,competition_level,source,difficulty,relevance,score
es,el tiempo en las palmas de gran canaria,110000,0.31,LOW,w3,65,10,22000.0
es,el tiempo en ciudad real,90500,0,LOW,w3,52,10,21895.2
es,plano metro madrid 2025,27100,0,LOW,w3,3,7,21888.5
es,linea 9 metro madrid,33100,0,LOW,w3,6,7,21721.9
pt,aeroporto porto partidas,18100,0.87,LOW,seed,0,8,21720.0
es,aeropuerto valencia,27100,1.53,LOW,w3,5,8,21680.0
es,renfe billetes,90500,0.6,LOW,w3,47,9,21434.2
es,cambiar billete renfe,22200,1.34,LOW,w3,4,9,21407.1
es,huelga renfe,22200,0,LOW,w3,4,9,21407.1
es,renfe cercanias bilbao,33100,0.4,LOW,w3,11,9,21278.6
es,el tiempo en málaga aemet,18100,0,LOW,w5,3,10,20884.6
pt,meteorologia torres novas,22200,0.74,LOW,w3,6,10,20812.5
es,cercanías Madrid,110000,0.88,LOW,seed,62,9,20625.0
es,q hora es en republica dominicana,22200,0,LOW,w3,3,8,20492.3
es,que hora en republica dominicana,22200,0,LOW,w3,3,8,20492.3
pt,aeroporto porto,49500,2.68,LOW,w3,19,8,20482.8
es,renfe cercanias valencia,60500,0.79,LOW,w3,30,9,20418.8
es,cercanias renfe bilbao,27100,0,LOW,w3,8,9,20325.0
es,puerto de navacerrada,40500,0.24,LOW,w3,11,7,20250.0
es,renfe horario,110000,0.38,LOW,w3,64,9,20067.6
es,renfe horarios,110000,0.38,LOW,w3,64,9,20067.6
es,estacion de sants barcelona,14800,0.08,LOW,w3,0,9,19980.0
es,cámaras navacerrada,14800,0,LOW,w3,0,9,19980.0
es,estación de puerta del sur alcorcon,14800,4.49,LOW,w5,0,9,19980.0
es,estación de autobuses de león reina urraca,14800,0.21,LOW,w5,0,9,19980.0
es,alquiler seguro,74000,3.11,LOW,w3,29,7,19923.1
es,cercanías Valencia,60500,0.78,LOW,seed,31,9,19920.7
es,tiempo: guadalajara,40500,0.69,LOW,w3,21,10,19596.8
es,museu d'art contemporani de barcelona,49500,0.4,LOW,w3,28,10,19539.5
es,valencia tiempo hoy,49500,0,LOW,w3,28,10,19539.5
es,el tiempo en madrid aemet,74000,0,LOW,w3,47,10,19473.7
es,aeropuerto t1-t2-t3,40500,0.17,LOW,w3,15,8,19440.0
pt,piscinas naturais do porto moniz,22200,0.31,LOW,w3,2,7,19425.0
es,linea metro 1 madrid,40500,0,LOW,w3,12,7,19329.5
es,el tiempo: barcelona hoy,60500,0,LOW,w3,37,10,19308.5
es,puerto de Barcelona,33100,0.47,LOW,seed,8,7,19308.3
es,el tiempo a 14 días en madrid,135000,0.01,LOW,w3,96,10,19103.8
es,velez malaga tiempo,33100,0,LOW,w5,16,10,19096.2
es,playas de puerto rico,18100,0.34,LOW,w3,0,7,19005.0
es,puerto de la torre,18100,0.38,LOW,w3,0,7,19005.0
es,linea 1 metro barcelona,18100,0.37,LOW,w3,0,7,19005.0
pt,escalações de futebol clube do porto x benfica,18100,0,LOW,w3,0,7,19005.0
es,pisos alquiler madrid,18100,0.72,LOW,w3,0,7,19005.0
es,metro begoña,18100,0.24,LOW,w3,0,7,19005.0
es,alquiler pisos valencia,18100,0.34,LOW,w3,0,7,19005.0
