country,keyword,search_volume,difficulty,cpc,competition_level,relevance,score
es,tiempo madrid prevision,49500,49,0,LOW,10,12584.7
es,linea 1 metro madrid,40500,24,0,LOW,7,12507.4
es,meteocat barcelona,60500,63,0,LOW,10,12431.5
es,meteo barcelona,60500,63,0,LOW,10,12431.5
pt,olx porto,22200,9,1.78,LOW,7,12268.4
pt,sao martinho do porto,22200,9,0.53,LOW,7,12268.4
pt,voos baratos,110000,62,0.47,HIGH,8,12222.2
es,aena,135000,79,1.83,,8,12134.8
pt,meteo lisboa,33100,31,0,LOW,10,12109.8
pt,sondagem autarquicas 2025,22200,12,0,LOW,8,12109.1
es,metro madrid linea 5,49500,33,0,LOW,7,12087.2
pt,aeroporto lisboa partidas,27100,8,0.37,,8,12044.4
es,metro valencia,110000,54,0.4,,7,12031.2
es,gran canaria,110000,100,0.85,LOW,8,12000.0
es,línea 7 metro madrid,33100,19,0,LOW,7,11984.5
pt,temperatura porto,27100,14,0.14,LOW,7,11856.2
es,mercado continuo tiempo real gratis,33100,32,0.65,LOW,10,11821.4
es,puerto de santa maria,40500,26,0.94,LOW,7,11812.5
es,metro de madrid linea 1,40500,26,0,LOW,7,11812.5
es,sevilla españa clima,49500,53,2.51,LOW,10,11785.7
es,examen dgt,33100,28,0.55,LOW,9,11759.2
es,metro de madrid linea 7,33100,20,0,LOW,7,11585.0
es,aeropuerto madrid,40500,32,1.12,LOW,8,11571.4
es,linea de metro 1,40500,28,0,LOW,7,11190.8
pt,previsão tempo porto,22200,20,0,LOW,10,11100.0
pt,autárquicas 2025,14800,6,0,LOW,8,11100.0
es,linea 5 metro madrid,49500,37,0,LOW,7,11058.5
pt,meteorologia funchal,27100,27,0.22,LOW,10,10986.5
es,cámaras dgt,49500,31,1.73,,9,10865.9
pt,jogo porto hoje,33100,22,0.6,LOW,7,10860.9
pt,meteorologia vila nova de gaia,18100,15,0.2,LOW,10,10860.0
es,meteo.cat barcelona,60500,75,0,LOW,10,10676.5
